cycle_no,timestamp,motor_id,rpm,temperature_C,vibration_mm_s,current_A,voltage_V,power_W,torque_Nm,failure
1,2025-01-01 08:00:00,BLM_03,2856.0,71.96199999999999,3.5603000000000002,14.79,47.02,548.39,1.79,0
2,2025-01-01 08:01:00,BLM_01,3271.0,63.134,2.2706,12.42,45.48,592.59,1.4,0
3,2025-01-01 08:02:00,BLM_03,2778.0,73.376,1.8808999999999998,8.47,46.83,516.56,1.88,0
4,2025-01-01 08:03:00,BLM_03,3235.0,53.258,1.7312,13.15,49.17,563.76,1.79,0
5,2025-01-01 08:04:00,BLM_01,2802.0,76.23,1.5115,12.46,50.13,533.75,1.77,0
6,2025-01-01 08:05:00,BLM_01,2937.0,52.492,2.8817999999999997,12.88,51.22,549.75,1.94,0
7,2025-01-01 08:06:00,BLM_03,3115.0,74.484,1.2421,16.05,51.38,524.31,1.94,1
8,2025-01-01 08:07:00,BLM_02,2736.0,51.946,3.4424,11.53,45.41,543.72,2.1,0
9,2025-01-01 08:08:00,BLM_03,3264.0,78.878,2.4427,9.21,51.02,563.63,1.95,0
10,2025-01-01 08:09:00,BLM_03,2936.0,66.14999999999999,2.193,14.28,44.94,581.31,1.7,0
11,2025-01-01 08:10:00,BLM_03,3025.0,58.412,2.3432999999999997,8.8,50.65,542.77,2.13,0
12,2025-01-01 08:11:00,BLM_03,3209.0,78.084,2.8236,10.66,49.43,615.26,2.18,0
13,2025-01-01 08:12:00,BLM_01,2857.0,57.406000000000006,2.1738999999999997,12.08,48.43,492.09,1.79,0
14,2025-01-01 08:13:00,BLM_03,3191.0,63.437999999999995,2.3742,10.38,45.78,482.67,2.11,0
15,2025-01-01 08:14:00,BLM_02,3295.0,83.26,3.2445000000000004,11.89,50.99,523.29,1.84,0
16,2025-01-01 08:15:00,BLM_01,2882.0,67.80199999999999,2.7448,11.76,45.48,550.48,2.09,0
17,2025-01-01 08:16:00,BLM_02,3246.0,50.854,1.6351,14.76,47.94,623.07,2.13,0
18,2025-01-01 08:17:00,BLM_02,2683.0,63.126000000000005,2.0054,7.64,48.17,541.64,1.64,0
19,2025-01-01 08:18:00,BLM_02,3070.0,62.507999999999996,1.2557,12.16,43.76,507.42,2.15,0
20,2025-01-01 08:19:00,BLM_02,2779.0,66.36,2.936,10.34,48.37,521.11,1.81,0
21,2025-01-01 08:20:00,BLM_01,3170.0,64.732,3.0162999999999998,10.99,45.26,553.64,1.9,0
22,2025-01-01 08:21:00,BLM_01,3155.0,68.86399999999999,1.8566,13.22,51.6,501.55,2.08,0
23,2025-01-01 08:22:00,BLM_02,3374.0,54.346,4.1169,12.93,54.76,636.85,1.74,0
24,2025-01-01 08:23:00,BLM_02,3256.0,61.208,4.2172,12.62,46.17,444.63,2.05,0
25,2025-01-01 08:24:00,BLM_01,2970.0,67.23,2.5275,9.74,47.02,515.66,1.84,0
26,2025-01-01 08:25:00,BLM_01,2805.0,59.722,1.9478,14.14,48.42,524.73,1.69,0
27,2025-01-01 08:26:00,BLM_01,3102.0,72.724,2.6981,10.42,42.85,506.13,1.96,0
28,2025-01-01 08:27:00,BLM_03,2989.0,59.866,1.9384,14.5,52.11,580.28,2.11,0
29,2025-01-01 08:28:00,BLM_03,3279.0,66.058,3.1787,10.83,47.2,520.46,1.83,0
30,2025-01-01 08:29:00,BLM_03,2610.0,64.33,2.629,13.86,47.0,577.92,1.55,0
31,2025-01-01 08:30:00,BLM_02,3394.0,57.961999999999996,2.6793,12.18,49.72,621.08,1.72,0
32,2025-01-01 08:31:00,BLM_03,3096.0,65.484,3.7396,8.99,48.21,605.67,1.62,0
